nvidia-l4t-kernel-module-configs	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-nvgpu	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-oot-headers	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-oot-modules	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-openrm	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-kernel-partitions	6.8.12-tegra-39.2.1-20260806224157
nvidia-l4t-libvulkan	39.2.1-20260806224157
nvidia-l4t-multimedia	39.2.1-20260806224157
nvidia-l4t-multimedia-nvgpu	39.2.1-20260806224157
nvidia-l4t-multimedia-openrm	39.2.1-20260806224157
nvidia-l4t-multimedia-utils	39.2.1-20260806224157
nvidia-l4t-nvfancontrol	39.2.1-20260806224157
nvidia-l4t-nvml	39.2.1-20260806224157
nvidia-l4t-nvpmodel	39.2.1-20260806224157
nvidia-l4t-nvpmodel-gui-tools	39.2.1-20260806224157
nvidia-l4t-nvsci	39.2.1-20260806224157
nvidia-l4t-oobe	39.2.1-20260806224157
nvidia-l4t-openwfd	39.2.1-20260806224157
nvidia-l4t-optee	39.2.1-20260806224157
nvidia-l4t-power-adapter-check	39.2.1-20260806224157
nvidia-l4t-pva	39.2.1-20260806224157
nvidia-l4t-tools	39.2.1-20260806224157
nvidia-l4t-usb-service	39.2.1-20260806224157
nvidia-l4t-video-codec-openrm	39.2.1-20260806224157
nvidia-l4t-vulkan-sc-dev	39.2.1-20260806224157
nvidia-l4t-vulkan-sc-nvgpu	39.2.1-20260806224157
nvidia-l4t-vulkan-sc-openrm	39.2.1-20260806224157
nvidia-l4t-vulkan-sc-samples	39.2.1-20260806224157
nvidia-l4t-vulkan-sc-sdk	39.2.1-20260806224157
nvidia-l4t-wayland	39.2.1-20260806224157
nvidia-l4t-weston	39.2.1-20260806224157
nvidia-l4t-wpasupplicant	39.2.1-20260806224157
nvidia-l4t-x11	39.2.1-20260806224157
nvidia-l4t-xwayland	39.2.1-20260806224157
nvme-cli	2.8-1ubuntu0.1
obexftp	0.24-9.1build2
ocl-icd-libopencl1:arm64	2.3.2-1build1
oem-config	24.04.5
oem-config-gtk	24.04.5
onboard	1.4.1-5ubuntu6
onboard-common	1.4.1-5ubuntu6
openprinting-ppds	20230202-1
openssh-client	1:9.6p1-3ubuntu13.16
openssh-server	1:9.6p1-3ubuntu13.16
openssh-sftp-server	1:9.6p1-3ubuntu13.16
openssl	3.0.13-0ubuntu3.11
openvpn	2.6.19-0ubuntu0.24.04.2
orca	46.1-1ubuntu1
os-prober	1.81ubuntu4
p11-kit	0.25.3-4ubuntu2.1
p11-kit-modules:arm64	0.25.3-4ubuntu2.1
packagekit	1.2.8-2ubuntu1.5
packagekit-tools	1.2.8-2ubuntu1.5
paps	0.6.8-7.2build1
parted	3.6-4build1
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
pcmciautils	018-14build1
perl	5.38.2-3.2ubuntu0.3
perl-base	5.38.2-3.2ubuntu0.3
perl-modules-5.38	5.38.2-3.2ubuntu0.3
perl-openssl-defaults:arm64	7build3
pigz	2.8-1
pinentry-curses	1.2.1-3ubuntu5
pinentry-gnome3	1.2.1-3ubuntu5
pipewire:arm64	1.0.5-1ubuntu3.2
pipewire-alsa:arm64	1.0.5-1ubuntu3.2
pipewire-audio	1.0.5-1ubuntu3.2
pipewire-bin	1.0.5-1ubuntu3.2
pipewire-pulse	1.0.5-1ubuntu3.2
pkexec	124-2ubuntu1.24.04.3
pkgconf:arm64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
plymouth	24.004.60-1ubuntu7.2
plymouth-label	24.004.60-1ubuntu7.2
plymouth-theme-spinner	24.004.60-1ubuntu7.2
policykit-1	124-2ubuntu1.24.04.3
policykit-desktop-privileges	0.22
polkitd	124-2ubuntu1.24.04.3
poppler-data	0.4.12-1
poppler-utils	24.02.0-1ubuntu9.9
power-profiles-daemon	0.21-1ubuntu1
ppp	2.4.9-1+1.1ubuntu4
pptp-linux	1.10.0-1build4
printer-driver-brlaser	6-3build2
printer-driver-c2esp	27-11ubuntu7
printer-driver-foo2zjs	20200505dfsg0-2ubuntu6
printer-driver-foo2zjs-common	20200505dfsg0-2ubuntu6
printer-driver-m2300w	0.51-15build2
printer-driver-min12xxw	0.0.9-11build3
printer-driver-pnm2ppa	1.13+nondbs-0ubuntu10
printer-driver-ptouch	1.7-1build2
printer-driver-pxljr	1.4+repack0-6build2
printer-driver-sag-gdi	0.1-8
procps	2:4.0.4-4ubuntu3.2
proj-data	9.4.0-1build2
psmisc	23.7-1build1
python-apt-common	2.7.7ubuntu5.2
python-babel-localedata	2.10.3-3build1
python-is-python3	3.11.4-1
python-matplotlib-data	3.6.3-1ubuntu5
python3	3.12.3-0ubuntu2.1
python3-appdirs	1.4.4-4
python3-apport	2.28.2-0ubuntu0.1
python3-apt	2.7.7ubuntu5.2
python3-aptdaemon	1.1.1+bzr982-0ubuntu44
python3-aptdaemon.gtk3widgets	1.1.1+bzr982-0ubuntu44
python3-attr	23.2.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-brlapi:arm64	6.6-4ubuntu5
python3-brotli	1.1.0-2build2
python3-cairo	1.25.1-2build2
python3-certifi	2023.11.17-1
python3-cffi-backend:arm64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-configobj	5.0.8-3
python3-contourpy	1.0.7-2build1
python3-cpuset	1.6.2-1
python3-cryptography	41.0.7-4ubuntu0.4
python3-cups:arm64	2.0.1-5build6
python3-cupshelpers	1.5.18-1ubuntu9
python3-cycler	0.11.0-2
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-dbusmock	0.31.1-1
python3-debconf	1.5.86ubuntu1
python3-debian	0.1.49ubuntu2
python3-decorator	5.1.1-5
python3-defer	1.0.6-2.1ubuntu1
python3-dev	3.12.3-0ubuntu2.1
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.28
python3-fasteners	0.18-2
python3-fonttools	4.46.0-1build2
python3-fs	2.4.16-3
python3-gi	3.48.2-1
python3-gi-cairo	3.48.2-1
python3-httplib2	0.20.4-3
python3-ibus-1.0	1.5.29-2
python3-icu	2.12-1build2
python3-idna	3.6-2ubuntu0.1
python3-iniconfig	1.1.1-2
python3-jetson-gpio	2.1.13-0ubuntu1
python3-jinja2	3.1.2-1ubuntu1.3
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1ubuntu0.1
python3-kiwisolver	1.4.4-2build1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-libnvinfer	10.16.2.10-1+cuda13.2
python3-louis	3.29.0-1build1
python3-lxml:arm64	5.2.1-1
python3-lz4	4.0.2+dfsg-1build4
python3-mako	1.3.2-1ubuntu0.1
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-matplotlib	3.6.3-1ubuntu5
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-monotonic	1.6-2
python3-mpmath	1.2.1-3
python3-nacl	1.5.0-4build1
python3-netplan	1.1.2-8ubuntu1~24.04.2
python3-numpy	1:1.26.4+ds-6ubuntu1
python3-oauthlib	3.2.2-1
python3-olefile	0.46-3
python3-opengl	3.1.7+dfsg-1
python3-packaging	24.0-1
python3-pam	0.4.2-18build2
python3-pandas	2.1.4+dfsg-7
python3-pandas-lib:arm64	2.1.4+dfsg-7
python3-paramiko	2.12.0-2ubuntu4.1
python3-pexpect	4.9-2
python3-pil:arm64	10.2.0-1ubuntu1.2
python3-pil.imagetk:arm64	10.2.0-1ubuntu1.2
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-pluggy	1.4.0-1
python3-problem-report	2.28.2-0ubuntu0.1
python3-ptyprocess	0.7.0-5
python3-pygments	2.17.2+dfsg-1
python3-pyparsing	3.1.1-1
python3-pyrsistent:arm64	0.20.0-1build2
python3-pytest	7.4.4-1
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-scipy	1.11.4-6build1
python3-serial	3.5-2
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.4
python3-speechd	0.12.0~rc2-2build3
python3-sss	2.9.4-1.1ubuntu6.6
python3-sympy	1.12-7
python3-systemd	235-1build4
python3-tk:arm64	3.12.3-0ubuntu1
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-ufolib2	0.16.0+dfsg1-1
python3-unicodedata2	15.1.0+ds-1build1
python3-uno	4:24.2.7-0ubuntu0.24.04.5
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.7
python3-urwid	2.6.10-1
python3-venv	3.12.3-0ubuntu2.1
python3-wadllib	1.3.6-5
python3-wcwidth	0.2.5+dfsg1-1.1ubuntu1
python3-wheel	0.42.0-2
python3-xdg	0.28-2
python3-xkit	0.5.0ubuntu6
python3-yaml	6.0.1-2build2
python3.12	3.12.3-1ubuntu0.17
python3.12-dev	3.12.3-1ubuntu0.17
python3.12-minimal	3.12.3-1ubuntu0.17
python3.12-venv	3.12.3-1ubuntu0.17
qemu-efi-aarch64	2024.02-2ubuntu0.9
qrtr-tools	1.0-2ubuntu3
rdate	1:1.11-3ubuntu2
readline-common	8.2-4build1
remmina	1.4.35+dfsg-0ubuntu5.2
remmina-common	1.4.35+dfsg-0ubuntu5.2
remmina-plugin-rdp:arm64	1.4.35+dfsg-0ubuntu5.2
remmina-plugin-secret:arm64	1.4.35+dfsg-0ubuntu5.2
remmina-plugin-vnc:arm64	1.4.35+dfsg-0ubuntu5.2
rfkill	2.39.3-9ubuntu6.5
rhythmbox	3.4.7-2ubuntu6
rhythmbox-data	3.4.7-2ubuntu6
rhythmbox-plugin-alternative-toolbar	0.20.4-1
rhythmbox-plugins	3.4.7-2ubuntu6
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
rsyslog	8.2312.0-3ubuntu9.2
rtkit	0.13-5build1
rygel	0.42.5-1ubuntu3
samba-libs:arm64	2:4.19.5+dfsg-4ubuntu9.6
sane-airscan	0.99.29-0ubuntu4
sane-utils	1.2.1-7build4
sbsigntool	0.9.4-3.1ubuntu7
seahorse	43.0-3build2
seatd	0.8.0-1
secureboot-db	1.9build1
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
session-migration	0.3.9build1
sgml-base	1.31
sgml-data	2.0.11+nmu1
shared-mime-info	2.4-4
shotwell	0.32.6-1ubuntu3
shotwell-common	0.32.6-1ubuntu3
simple-scan	46.0-0ubuntu2.1
snapd	2.75.2+ubuntu24.04
software-properties-common	0.99.49.4
software-properties-gtk	0.99.49.4
sound-icons	0.1-8
sound-theme-freedesktop	0.8-2ubuntu1
sox	14.4.2+git20190427-4build4
speech-dispatcher	0.12.0~rc2-2build3
speech-dispatcher-audio-plugins:arm64	0.12.0~rc2-2build3
speech-dispatcher-espeak-ng	0.12.0~rc2-2build3
spice-vdagent	0.22.1-4build3
squashfs-tools	1:4.6.1-1build1
sshfs	3.7.3-1.1build3
ssl-cert	1.1.2ubuntu1
sssd	2.9.4-1.1ubuntu6.6
sssd-ad	2.9.4-1.1ubuntu6.6
sssd-ad-common	2.9.4-1.1ubuntu6.6
sssd-common	2.9.4-1.1ubuntu6.6
sssd-ipa	2.9.4-1.1ubuntu6.6
sssd-krb5	2.9.4-1.1ubuntu6.6
sssd-krb5-common	2.9.4-1.1ubuntu6.6
sssd-ldap	2.9.4-1.1ubuntu6.6
sssd-proxy	2.9.4-1.1ubuntu6.6
stress	1.0.7-1
sudo	1.9.15p5-3ubuntu5.24.04.2
switcheroo-control	2.6-2build2
system-config-printer-common	1.5.18-1ubuntu9
system-config-printer-udev	1.5.18-1ubuntu9
systemd	255.4-1ubuntu8.16
systemd-dev	255.4-1ubuntu8.16
systemd-hwe-hwdb	255.1.7
systemd-oomd	255.4-1ubuntu8.16
systemd-resolved	255.4-1ubuntu8.16
systemd-sysv	255.4-1ubuntu8.16
systemd-timesyncd	255.4-1ubuntu8.16
sysvinit-utils	3.08-6ubuntu3
tango-icon-theme	0.8.90-11
tar	1.35+dfsg-3ubuntu0.2
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tecla	46.0-1ubuntu0.1
thunderbird	2:1snap1-0ubuntu3
timgm6mb-soundfont	1.3-5
tk8.6-blt2.5	2.5.3+dfsg-7build1
totem	43.0-2ubuntu4
totem-common	43.0-2ubuntu4
totem-plugins	43.0-2ubuntu4
tpm-udev	0.6ubuntu1
tpm2-tools	5.6-1build4
tracker	3.7.1-1build1
tracker-extract	3.7.1-1ubuntu0.1
tracker-miner-fs	3.7.1-1ubuntu0.1
transmission-common	4.0.5-1ubuntu0.1
transmission-gtk	4.0.5-1ubuntu0.1
tzdata	2026b-0ubuntu0.24.04.1
tzdata-legacy	2026b-0ubuntu0.24.04.1
ubiquity	24.04.5
ubiquity-casper	1.498
ubiquity-frontend-debconf	24.04.5
ubiquity-frontend-gtk	24.04.5
ubiquity-ubuntu-artwork	24.04.5
ubuntu-advantage-desktop-daemon	1.11ubuntu0.1
ubuntu-desktop	1.539.2
ubuntu-desktop-minimal	1.539.2
ubuntu-docs	24.04.2
ubuntu-drivers-common	1:0.9.7.6ubuntu3.7
ubuntu-keyring	2023.11.28.1
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	37.2ubuntu~24.04
ubuntu-pro-client-l10n	37.2ubuntu~24.04
ubuntu-release-upgrader-core	1:24.04.28
ubuntu-release-upgrader-gtk	1:24.04.28
ubuntu-report	1.7.3ubuntu0.24.04.3
ubuntu-session	46.0-1ubuntu4
ubuntu-settings	24.04.6
ubuntu-wallpapers	24.04.2
ubuntu-wallpapers-noble	24.04.2
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.16
udisks2	2.10.1-6ubuntu1.3
unicode-data	15.1.0-1
unixodbc-common	2.3.12-1ubuntu0.24.04.1
uno-libs-private	4:24.2.7-0ubuntu0.24.04.5
unzip	6.0-28ubuntu4.1
update-inetd	4.53
update-manager	1:24.04.12
update-manager-core	1:24.04.12
update-notifier	3.192.68.2
update-notifier-common	3.192.68.2
upower	1.90.3-1
ure	4:24.2.7-0ubuntu0.24.04.5
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2.1
usbutils	1:017-3build1
ussp-push	0.11-4build1
uthash-dev:arm64	2.3.0-2
util-linux	2.39.3-9ubuntu6.5
util-linux-extra	2.39.3-9ubuntu6.5
uuid-dev:arm64	2.39.3-9ubuntu6.5
uuid-runtime	2.39.3-9ubuntu6.5
vim	2:9.1.0016-1ubuntu7.17
vim-common	2:9.1.0016-1ubuntu7.17
vim-runtime	2:9.1.0016-1ubuntu7.17
vulkan-tools	1.3.275.0+dfsg1-1
wamerican	2020.12.07-2
webp-pixbuf-loader:arm64	0.2.4-2build2
wget	1.21.4-1ubuntu4.1
whiptail	0.52.24-2ubuntu2
whoopsie-preferences	23build3
wireless-regdb	2025.10.07-0ubuntu1~24.04.1
wireless-tools	30~pre9-16.1ubuntu2
wireplumber	0.4.17-1ubuntu4.1
wpasupplicant	2:2.10-21ubuntu0.4
x11-apps	7.7+11build3
x11-common	1:7.7+23ubuntu3
x11-session-utils	7.7+6build2
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
x11proto-dev	2023.2-1
xauth	1:1.1.2-1build1
xbitmaps	1.1.1-2.2
xbrlapi	6.6-4ubuntu5
xcursor-themes	1.0.6-0ubuntu1
xcvt	0.1.2-1build1
xdg-dbus-proxy	0.1.5-1ubuntu0.2
xdg-desktop-portal	1.18.4-1ubuntu2.24.04.2
xdg-desktop-portal-gnome	46.2-0ubuntu1
xdg-desktop-portal-gtk	1.15.1-1build2
xdg-user-dirs	0.18-1build1
xdg-user-dirs-gtk	0.11-1build2
xdg-utils	1.1.3-4.1ubuntu3
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6build3
xinit	1.4.1-0ubuntu5
xinput	1.6.4-1build1
xkb-data	2.41-2ubuntu1.1
xloadimage	4.1-25build3
xml-core	0.19
xorg	1:7.7+23ubuntu3
xorg-docs-core	1:1.7.1-1.2
xorg-sgml-doctools	1:1.11-1.1
xserver-common	2:21.1.12-1ubuntu1.6
xserver-xephyr	2:21.1.12-1ubuntu1.6
xserver-xorg	1:7.7+23ubuntu3
xserver-xorg-core	2:21.1.12-1ubuntu1.6
xserver-xorg-input-all	1:7.7+23ubuntu3
xserver-xorg-input-libinput	1.4.0-1ubuntu24.04.1
xserver-xorg-input-wacom	1:1.2.0-1ubuntu2
xserver-xorg-legacy	2:21.1.12-1ubuntu1.6
xserver-xorg-video-all	1:7.7+23ubuntu3
xserver-xorg-video-amdgpu	23.0.0-1ubuntu0.24.04.1
xserver-xorg-video-ati	1:22.0.0-1build1
xserver-xorg-video-fbdev	1:0.5.0-2build2
xserver-xorg-video-nouveau	1:1.0.17-2ubuntu0.1
xserver-xorg-video-radeon	1:22.0.0-1build1
xserver-xorg-video-vesa	1:2.6.0-1ubuntu0.1
xterm	390-1ubuntu3
xtrans-dev	1.4.0-1
xwayland	2:23.2.6-1ubuntu0.8
xxd	2:9.1.0016-1ubuntu7.17
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
yaru-theme-gnome-shell	24.04.2-0ubuntu1
yaru-theme-gtk	24.04.2-0ubuntu1
yaru-theme-icon	24.04.2-0ubuntu1
yaru-theme-sound	24.04.2-0ubuntu1
yelp	42.2-1ubuntu0.24.04.1
yelp-xsl	42.1-2ubuntu0.24.04.1
yudit-common	3.1.0-1
zenity	4.0.1-1build3
zenity-common	4.0.1-1build3
zip	3.0-13ubuntu0.2
zlib1g:arm64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g-dev:arm64	1:1.3.dfsg-3.1ubuntu2.1
zstd	1.5.5+dfsg2-2build1.1
